Товар,Категория,Остаток,Цена,Тип дня,Спрос
Чай черный,Напитки,20,409.33,будни,8
Яблоки Гренни,Фрукты,94,102.94,будни,9
Лавровый лист,Специи,39,403.45,праздник,21
Сухарики ржаные,Снеки,18,24.9,будни,10
Лавровый лист,Специи,40,65.17,будни,8
Вода минеральная,Напитки,38,457.74,выходной,4
Морковь столовая,Овощи,61,158.86,будни,22
Картофель молодой,Овощи,63,187.46,будни,19
Чай черный,Напитки,35,177.85,выходной,12
Бананы,Фрукты,94,134.28,выходной,28
Вода минеральная,Напитки,4,347.22,будни,18
Мармелад фруктовый,Кондитерские изделия,23,48.13,праздник,9
Вино красное,Алкоголь,14,1314.67,будни,1
Гречка ядрица,Крупы,46,80.84,выходной,2
Макароны спагетти,Макаронные изделия,44,136.1,будни,14
Рис Басмати,Крупы,34,444.4,выходной,2
Мука пшеничная,Бакалея,5,182.26,выходной,2
Кофе молотый,Напитки,38,401.36,выходной,8
Кетчуп томатный,Соусы,3,460.05,будни,12
Соль йодированная,Бакалея,23,236.56,выходной,30
Хлеб бородинский,Хлебобулочные изделия,49,247.0,будни,4
Зефир ванильный,Кондитерские изделия,10,376.81,выходной,20
Кетчуп томатный,Соусы,26,89.2,выходной,22
Пиво светлое,Алкоголь,33,763.39,будни,6
Соль йодированная,Бакалея,16,280.6,будни,10
Бананы,Фрукты,17,69.02,будни,12
Сыр Российский,Молочные продукты,85,489.44,будни,3
Говядина вырезка,Мясо,10,513.64,будни,15
Мармелад фруктовый,Кондитерские изделия,3,493.19,будни,16
Рис Басмати,Крупы,2,411.46,выходной,20
Апельсины,Фрукты,78,87.84,будни,11
Мёд цветочный,Сладости,40,223.32,будни,16
Лавровый лист,Специи,8,70.95,праздник,51
Яйца куриные (10 шт),Яйца,32,233.07,выходной,28
Помидоры черри,Овощи,23,155.83,выходной,40
Хлеб бородинский,Хлебобулочные изделия,41,328.47,выходной,28
Сухарики ржаные,Снеки,2,367.29,будни,6
"Молоко 2,5%",Молочные продукты,10,369.04,будни,10
Говядина вырезка,Мясо,14,422.5,выходной,34
Сухарики ржаные,Снеки,44,110.27,будни,10
Лук репчатый,Овощи,59,164.32,будни,25
Лавровый лист,Специи,20,34.89,будни,10
Макароны спагетти,Макаронные изделия,10,344.07,будни,14
Творог 5%,Молочные продукты,74,401.0,будни,17
Яблоки Гренни,Фрукты,60,87.81,выходной,18
Чипсы картофельные,Снеки,19,36.03,будни,15
Сыр Российский,Молочные продукты,95,370.58,будни,7
Сок апельсиновый,Напитки,3,400.63,будни,2
Яблоки Гренни,Фрукты,64,102.02,выходной,8
Вино красное,Алкоголь,12,1382.35,будни,4
Картофель молодой,Овощи,91,94.63,будни,28
Лимонад,Напитки,6,216.09,выходной,36
Морковь столовая,Овощи,80,175.51,выходной,30
Сметана 15%,Молочные продукты,63,471.43,будни,5
Говядина вырезка,Мясо,25,531.66,будни,8
Майонез оливковый,Соусы,0,198.22,выходной,10
Чай черный,Напитки,34,385.43,выходной,4
Сухарики ржаные,Снеки,43,255.84,выходной,10
"Молоко 2,5%",Молочные продукты,98,75.84,выходной,6
Творог 5%,Молочные продукты,88,266.43,будни,12
"Молоко 2,5%",Молочные продукты,31,373.88,выходной,38
Сахар песок,Бакалея,26,70.77,будни,7
Сухарики ржаные,Снеки,22,452.15,будни,19
Курица охлажденная,Мясо,45,586.94,будни,4
Свинина отбивная,Мясо,9,677.69,будни,14
Йогурт греческий,Молочные продукты,50,286.59,будни,19
Чипсы картофельные,Снеки,15,209.92,будни,18
Майонез оливковый,Соусы,6,451.76,выходной,14
Яблоки Гренни,Фрукты,60,117.13,выходной,30
Мука пшеничная,Бакалея,35,217.09,выходной,2
Перец черный молотый,Специи,31,492.99,будни,12
Вино красное,Алкоголь,42,955.32,будни,8
Говядина вырезка,Мясо,5,364.83,выходной,38
Перец черный молотый,Специи,21,269.22,будни,6
Масло сливочное,Молочные продукты,97,43.75,выходной,26
Энергетик,Напитки,23,87.7,выходной,12
Конфеты шоколадные,Кондитерские изделия,37,129.32,будни,13
Помидоры черри,Овощи,52,187.81,будни,19
Кофе молотый,Напитки,2,385.5,будни,16
Гречка ядрица,Крупы,26,150.0,будни,8
Рис Басмати,Крупы,7,459.72,будни,13
Шоколад молочный,Кондитерские изделия,17,154.85,будни,13
Сыр Российский,Молочные продукты,68,138.55,будни,12
Чипсы картофельные,Снеки,44,126.58,праздник,57
Масло сливочное,Молочные продукты,41,250.5,будни,17
Хлеб бородинский,Хлебобулочные изделия,46,462.89,выходной,6
Энергетик,Напитки,22,435.29,выходной,30
Сметана 15%,Молочные продукты,61,426.72,будни,17
Майонез оливковый,Соусы,41,392.63,будни,6
Пиво светлое,Алкоголь,41,778.24,выходной,16
Чипсы картофельные,Снеки,6,55.5,выходной,38
Лук репчатый,Овощи,83,146.6,будни,16
Сыр Российский,Молочные продукты,33,24.43,будни,4
Свинина отбивная,Мясо,47,360.71,будни,12
Творог 5%,Молочные продукты,42,71.62,будни,2
Лимонад,Напитки,3,316.8,будни,7
Творог 5%,Молочные продукты,71,467.14,будни,16
Вино красное,Алкоголь,5,1039.89,будни,8
Творог 5%,Молочные продукты,46,291.59,выходной,24
Мармелад фруктовый,Кондитерские изделия,28,178.56,будни,16
Лимонад,Напитки,43,262.43,будни,14
Сухарики ржаные,Снеки,11,215.92,будни,1
Рис Басмати,Крупы,29,91.3,будни,9
Вода минеральная,Напитки,17,490.69,будни,7
"Молоко 2,5%",Молочные продукты,48,372.78,будни,5
Масло сливочное,Молочные продукты,36,48.97,будни,10
Огурцы грунтовые,Овощи,62,117.19,будни,14
Творог 5%,Молочные продукты,26,110.6,будни,18
Пиво светлое,Алкоголь,38,416.75,будни,7
Огурцы грунтовые,Овощи,72,120.15,будни,29
Говядина вырезка,Мясо,6,768.59,будни,18
Чипсы картофельные,Снеки,11,429.35,будни,13
Лимонад,Напитки,25,242.53,будни,11
Сметана 15%,Молочные продукты,70,358.44,выходной,20
Перец черный молотый,Специи,0,37.63,выходной,18
Мука пшеничная,Бакалея,41,167.72,будни,15
Джем клубничный,Сладости,35,340.67,праздник,42
Картофель молодой,Овощи,85,188.59,будни,7
Кетчуп томатный,Соусы,24,184.1,будни,14
Сухарики ржаные,Снеки,33,224.38,будни,16
Печенье овсяное,Кондитерские изделия,35,497.69,выходной,6
Мёд цветочный,Сладости,39,416.65,будни,8
Морковь столовая,Овощи,99,91.4,будни,6
Шоколад молочный,Кондитерские изделия,21,56.97,выходной,4
Помидоры черри,Овощи,38,196.96,выходной,54
Энергетик,Напитки,8,466.04,будни,18
Свинина отбивная,Мясо,13,448.15,будни,7
Яйца куриные (10 шт),Яйца,28,217.99,выходной,34
Курица охлажденная,Мясо,18,561.26,выходной,12
Мука пшеничная,Бакалея,44,443.94,праздник,30
Джем клубничный,Сладости,32,179.9,будни,7
Кофе молотый,Напитки,41,470.48,будни,4
Вино красное,Алкоголь,14,1125.49,будни,1
Огурцы грунтовые,Овощи,72,90.36,праздник,30
Кетчуп томатный,Соусы,14,45.01,будни,19
Конфеты шоколадные,Кондитерские изделия,30,54.05,будни,18
Кофе молотый,Напитки,10,405.02,выходной,30
Творог 5%,Молочные продукты,45,204.09,будни,2
Морковь столовая,Овощи,55,168.86,выходной,46
Масло сливочное,Молочные продукты,21,370.0,выходной,12
Энергетик,Напитки,10,350.55,будни,12
Яйца куриные (10 шт),Яйца,6,417.9,будни,1
Рис Басмати,Крупы,45,499.37,выходной,22
Рис Басмати,Крупы,26,409.94,будни,19
Шоколад молочный,Кондитерские изделия,16,344.98,выходной,8
Яблоки Гренни,Фрукты,23,131.2,будни,19
Рис Басмати,Крупы,36,490.1,будни,6
Пиво светлое,Алкоголь,12,904.45,будни,8
Хлеб бородинский,Хлебобулочные изделия,3,181.75,выходной,18
Хлеб бородинский,Хлебобулочные изделия,5,225.89,выходной,20
Сметана 15%,Молочные продукты,48,46.05,будни,10
Яблоки Гренни,Фрукты,41,154.23,будни,10
Сахар песок,Бакалея,26,276.12,будни,4
Кетчуп томатный,Соусы,15,237.38,будни,18
Мука пшеничная,Бакалея,9,194.88,выходной,24
Мука пшеничная,Бакалея,43,126.04,будни,11
Кофе молотый,Напитки,3,478.02,будни,16
Картофель молодой,Овощи,75,157.07,выходной,46
Вино красное,Алкоголь,5,242.18,праздник,21
Хлеб бородинский,Хлебобулочные изделия,43,421.79,выходной,8
Джем клубничный,Сладости,18,125.93,выходной,24
Соль йодированная,Бакалея,6,427.15,праздник,51
Джем клубничный,Сладости,14,50.64,праздник,39
Гречка ядрица,Крупы,12,404.43,будни,4
"Молоко 2,5%",Молочные продукты,69,242.36,будни,6
Хлеб бородинский,Хлебобулочные изделия,14,431.66,будни,7
Курица охлажденная,Мясо,2,362.56,будни,8
Мука пшеничная,Бакалея,46,271.4,выходной,4
Мука пшеничная,Бакалея,19,196.83,будни,9
Яблоки Гренни,Фрукты,69,85.11,будни,10
Перец черный молотый,Специи,21,41.05,будни,19
Сухарики ржаные,Снеки,15,235.89,выходной,2
Майонез оливковый,Соусы,47,176.75,будни,16
Вино красное,Алкоголь,5,410.22,будни,2
Яйца куриные (10 шт),Яйца,32,389.62,выходной,16
Огурцы грунтовые,Овощи,36,168.58,будни,14
Зефир ванильный,Кондитерские изделия,47,194.32,будни,11
Соль йодированная,Бакалея,6,368.14,будни,17
Лук репчатый,Овощи,84,178.71,будни,29
Помидоры черри,Овощи,46,109.99,будни,11
Чай черный,Напитки,6,319.71,будни,3
Масло сливочное,Молочные продукты,93,97.08,выходной,14
Помидоры черри,Овощи,49,173.74,будни,10
Соль йодированная,Бакалея,45,203.14,праздник,9
Мармелад фруктовый,Кондитерские изделия,37,493.12,праздник,24
Лимонад,Напитки,23,291.8,будни,1
Йогурт греческий,Молочные продукты,16,61.06,выходной,10
Лосось стейк,Рыба и морепродукты,20,573.0,будни,19
Лосось стейк,Рыба и морепродукты,16,344.05,выходной,26
Кетчуп томатный,Соусы,29,136.55,будни,11
Шоколад молочный,Кондитерские изделия,4,202.36,будни,11
Картофель молодой,Овощи,90,140.09,будни,6
Яйца куриные (10 шт),Яйца,47,311.57,праздник,27
Апельсины,Фрукты,24,74.45,будни,2
Соль йодированная,Бакалея,1,123.09,будни,19
Творог 5%,Молочные продукты,22,107.5,выходной,24
Огурцы грунтовые,Овощи,87,188.01,выходной,26
Лавровый лист,Специи,22,50.81,будни,9
Масло сливочное,Молочные продукты,18,355.34,будни,10
Соль йодированная,Бакалея,32,27.17,выходной,10
Сухарики ржаные,Снеки,36,126.19,будни,9
Вино красное,Алкоголь,48,1138.79,выходной,14
Джем клубничный,Сладости,49,393.14,будни,18
Майонез оливковый,Соусы,44,372.38,будни,10
Помидоры черри,Овощи,88,185.25,будни,21
"Молоко 2,5%",Молочные продукты,73,443.71,будни,10
Лук репчатый,Овощи,92,179.22,выходной,36
Яйца куриные (10 шт),Яйца,24,408.2,выходной,8
Лук репчатый,Овощи,85,54.23,будни,14
Сыр Российский,Молочные продукты,21,198.49,выходной,36
Лосось стейк,Рыба и морепродукты,35,530.41,будни,5
Сок апельсиновый,Напитки,16,440.58,будни,9
Чай черный,Напитки,21,146.02,будни,6
Сухарики ржаные,Снеки,10,65.06,будни,16
Творог 5%,Молочные продукты,75,450.5,выходной,32
Курица охлажденная,Мясо,19,779.93,будни,11
Перец черный молотый,Специи,17,82.8,будни,15
Помидоры черри,Овощи,57,118.55,будни,23
Печенье овсяное,Кондитерские изделия,41,243.71,будни,3
Зефир ванильный,Кондитерские изделия,12,475.61,будни,16
Сок апельсиновый,Напитки,42,144.13,будни,5
Кофе молотый,Напитки,6,101.9,будни,9
Картофель молодой,Овощи,66,125.57,выходной,18
Перец черный молотый,Специи,45,110.49,будни,4
Конфеты шоколадные,Кондитерские изделия,42,256.68,будни,13
"Кефир 3,2%",Молочные продукты,74,39.62,будни,17
Джем клубничный,Сладости,22,57.87,будни,12
Перец черный молотый,Специи,6,368.37,будни,7
Сахар песок,Бакалея,38,313.25,выходной,2
"Молоко 2,5%",Молочные продукты,94,211.63,будни,16
Курица охлажденная,Мясо,36,349.05,праздник,21
Мёд цветочный,Сладости,27,183.63,будни,2
Энергетик,Напитки,24,93.08,будни,12
Лимонад,Напитки,10,182.93,будни,11
Лимонад,Напитки,34,111.84,будни,8
Сметана 15%,Молочные продукты,17,135.03,выходной,2
Мука пшеничная,Бакалея,47,458.11,будни,3
Чай черный,Напитки,23,184.73,будни,8
Лавровый лист,Специи,29,335.14,будни,8
Лимонад,Напитки,11,204.99,будни,11
"Молоко 2,5%",Молочные продукты,27,406.06,выходной,10
Масло сливочное,Молочные продукты,75,283.42,будни,8
Вода минеральная,Напитки,30,124.07,будни,9
Рис Басмати,Крупы,35,314.94,будни,17
Творог 5%,Молочные продукты,70,216.59,будни,5
Хлеб бородинский,Хлебобулочные изделия,34,193.55,выходной,38
Конфеты шоколадные,Кондитерские изделия,43,311.39,будни,19
Майонез оливковый,Соусы,26,399.44,будни,2
Вода минеральная,Напитки,17,439.8,будни,19
Пиво светлое,Алкоголь,8,1176.6,будни,7
Говядина вырезка,Мясо,11,585.85,будни,15
Свинина отбивная,Мясо,7,487.6,будни,8
Говядина вырезка,Мясо,17,742.8,выходной,16
Говядина вырезка,Мясо,2,305.37,выходной,2
Конфеты шоколадные,Кондитерские изделия,7,40.99,будни,14
Шоколад молочный,Кондитерские изделия,42,476.87,будни,11
Майонез оливковый,Соусы,33,447.59,выходной,14
Кетчуп томатный,Соусы,24,145.4,будни,18
Чай черный,Напитки,26,366.97,праздник,45
Лавровый лист,Специи,4,118.04,выходной,20
Бананы,Фрукты,79,166.27,будни,4
Сахар песок,Бакалея,31,55.82,будни,1
Колбаса докторская,Мясные изделия,9,365.08,будни,14
Шоколад молочный,Кондитерские изделия,45,267.34,будни,9
Мёд цветочный,Сладости,30,419.95,выходной,26
Хлеб бородинский,Хлебобулочные изделия,14,381.72,выходной,34
Яйца куриные (10 шт),Яйца,18,98.83,будни,4
Зефир ванильный,Кондитерские изделия,12,420.85,будни,5
Энергетик,Напитки,1,119.02,будни,18
Гречка ядрица,Крупы,30,470.86,выходной,34
Лимонад,Напитки,47,140.35,выходной,14
Свинина отбивная,Мясо,28,538.11,будни,10
Йогурт греческий,Молочные продукты,65,149.24,будни,9
"Кефир 3,2%",Молочные продукты,40,163.6,будни,13
Сметана 15%,Молочные продукты,11,460.9,будни,18
Зефир ванильный,Кондитерские изделия,19,392.2,будни,12
Свинина отбивная,Мясо,2,393.05,будни,8
Сметана 15%,Молочные продукты,99,349.39,выходной,36
Масло сливочное,Молочные продукты,18,499.06,будни,5
Колбаса докторская,Мясные изделия,24,302.64,будни,7
Чай черный,Напитки,32,437.98,будни,15
Помидоры черри,Овощи,22,65.53,выходной,14
Гречка ядрица,Крупы,18,294.86,выходной,36
Конфеты шоколадные,Кондитерские изделия,33,90.16,будни,6
Хлеб бородинский,Хлебобулочные изделия,14,351.77,будни,6
Джем клубничный,Сладости,21,143.75,будни,1
Говядина вырезка,Мясо,7,535.35,праздник,51
Лавровый лист,Специи,22,394.01,будни,11
Шоколад молочный,Кондитерские изделия,5,248.69,будни,2
Рис Басмати,Крупы,13,169.95,будни,9
Вино красное,Алкоголь,36,976.99,будни,3
Курица охлажденная,Мясо,5,568.63,будни,6
"Молоко 2,5%",Молочные продукты,39,425.51,будни,7
Печенье овсяное,Кондитерские изделия,15,463.15,будни,4
Морковь столовая,Овощи,31,118.44,будни,7
Сок апельсиновый,Напитки,39,202.71,будни,2
Творог 5%,Молочные продукты,78,216.39,выходной,20
Хлеб бородинский,Хлебобулочные изделия,11,37.21,выходной,20
Вода минеральная,Напитки,17,348.74,будни,17
Сахар песок,Бакалея,6,317.19,праздник,48
Морковь столовая,Овощи,66,108.76,будни,5
Помидоры черри,Овощи,78,99.3,будни,16
Морковь столовая,Овощи,86,110.27,будни,24
Масло сливочное,Молочные продукты,32,336.47,будни,10
Лимонад,Напитки,20,178.01,будни,1
Хлеб бородинский,Хлебобулочные изделия,19,482.93,будни,16
Помидоры черри,Овощи,97,149.89,будни,15
Лук репчатый,Овощи,34,124.61,будни,8
Чипсы картофельные,Снеки,47,259.85,будни,3
Перец черный молотый,Специи,0,361.38,будни,13
Лосось стейк,Рыба и морепродукты,46,341.01,будни,15
Сок апельсиновый,Напитки,7,77.11,будни,10
Говядина вырезка,Мясо,36,723.93,будни,6
Чипсы картофельные,Снеки,3,192.0,будни,11
Сухарики ржаные,Снеки,31,301.11,будни,1
Лук репчатый,Овощи,85,96.65,будни,24
Апельсины,Фрукты,94,157.22,праздник,12
Апельсины,Фрукты,24,93.74,будни,10
Сок апельсиновый,Напитки,25,385.74,будни,15
Макароны спагетти,Макаронные изделия,38,464.93,будни,1
Лавровый лист,Специи,24,360.81,будни,15
Гречка ядрица,Крупы,46,349.13,выходной,6
Пиво светлое,Алкоголь,48,789.2,будни,1
Помидоры черри,Овощи,26,78.03,будни,10
Картофель молодой,Овощи,61,184.79,будни,23
Сок апельсиновый,Напитки,11,100.41,будни,4
Шоколад молочный,Кондитерские изделия,47,306.24,выходной,24
Пиво светлое,Алкоголь,4,463.86,выходной,18
Сухарики ржаные,Снеки,20,474.32,будни,2
Лук репчатый,Овощи,52,85.73,будни,21
Сыр Российский,Молочные продукты,69,421.86,будни,6
Энергетик,Напитки,35,492.85,будни,12
Лавровый лист,Специи,49,229.88,будни,15
Яблоки Гренни,Фрукты,32,166.32,выходной,34
"Кефир 3,2%",Молочные продукты,15,406.68,будни,1
Яйца куриные (10 шт),Яйца,27,449.24,выходной,28
Шоколад молочный,Кондитерские изделия,13,145.39,будни,2
Вода минеральная,Напитки,3,345.69,выходной,8
Курица охлажденная,Мясо,13,571.9,праздник,6
Энергетик,Напитки,13,97.03,будни,14
Масло сливочное,Молочные продукты,64,495.55,будни,18
Кофе молотый,Напитки,36,432.34,выходной,16
Лавровый лист,Специи,17,229.31,выходной,2
Лавровый лист,Специи,5,384.59,будни,16
Соль йодированная,Бакалея,6,117.52,будни,7
Зефир ванильный,Кондитерские изделия,10,297.91,выходной,12
Колбаса докторская,Мясные изделия,41,76.45,выходной,38
Перец черный молотый,Специи,6,453.47,выходной,20
Мармелад фруктовый,Кондитерские изделия,7,193.32,будни,6
Мёд цветочный,Сладости,47,224.97,будни,10
Лавровый лист,Специи,24,318.29,будни,19
Огурцы грунтовые,Овощи,25,50.96,выходной,14
Шоколад молочный,Кондитерские изделия,49,475.98,выходной,6
Йогурт греческий,Молочные продукты,27,260.83,выходной,12
Огурцы грунтовые,Овощи,26,96.84,будни,21
Морковь столовая,Овощи,22,149.11,будни,22
Морковь столовая,Овощи,14,174.41,выходной,28
Печенье овсяное,Кондитерские изделия,11,79.76,будни,6
Перец черный молотый,Специи,34,124.23,будни,13
Масло сливочное,Молочные продукты,18,405.82,праздник,18
Кетчуп томатный,Соусы,11,437.72,выходной,24
Йогурт греческий,Молочные продукты,36,64.28,будни,14
Майонез оливковый,Соусы,12,182.34,будни,17
Свинина отбивная,Мясо,33,751.07,будни,8
"Молоко 2,5%",Молочные продукты,98,298.22,выходной,10
Яблоки Гренни,Фрукты,49,138.66,выходной,8
Картофель молодой,Овощи,46,192.53,будни,10
Огурцы грунтовые,Овощи,96,85.82,выходной,30
Сахар песок,Бакалея,5,138.66,выходной,10
Лук репчатый,Овощи,55,128.45,будни,26
Соль йодированная,Бакалея,19,495.82,будни,14
Кетчуп томатный,Соусы,2,72.87,будни,10
Чипсы картофельные,Снеки,3,131.08,выходной,22
Сыр Российский,Молочные продукты,25,231.42,выходной,6
Курица охлажденная,Мясо,36,598.92,выходной,16
Майонез оливковый,Соусы,11,265.5,выходной,10
Свинина отбивная,Мясо,12,390.66,выходной,20
Сок апельсиновый,Напитки,21,453.43,будни,8
Яблоки Гренни,Фрукты,44,160.73,будни,9
Сметана 15%,Молочные продукты,53,353.96,будни,15
Йогурт греческий,Молочные продукты,81,437.12,выходной,2
Вино красное,Алкоголь,15,1371.56,будни,7
Творог 5%,Молочные продукты,85,94.18,будни,5
Сахар песок,Бакалея,30,161.86,выходной,30
Лавровый лист,Специи,8,369.55,выходной,8
Шоколад молочный,Кондитерские изделия,36,475.42,будни,19
Бананы,Фрукты,26,63.43,будни,10
Апельсины,Фрукты,90,181.56,будни,2
Соль йодированная,Бакалея,45,232.79,будни,5
Рис Басмати,Крупы,1,108.57,будни,18
Лимонад,Напитки,21,267.24,выходной,12
"Кефир 3,2%",Молочные продукты,60,360.59,будни,10
Говядина вырезка,Мясо,33,316.43,будни,15
Зефир ванильный,Кондитерские изделия,22,376.07,праздник,27
Чай черный,Напитки,0,136.02,будни,13
Гречка ядрица,Крупы,17,176.72,выходной,36
Яблоки Гренни,Фрукты,71,124.86,будни,7
Мармелад фруктовый,Кондитерские изделия,40,132.05,выходной,4
Рис Басмати,Крупы,23,165.16,будни,16
Зефир ванильный,Кондитерские изделия,18,382.74,выходной,4
Яблоки Гренни,Фрукты,25,184.2,будни,4
"Молоко 2,5%",Молочные продукты,54,499.75,будни,2
Кофе молотый,Напитки,14,431.88,будни,17
Печенье овсяное,Кондитерские изделия,40,267.71,выходной,12
Апельсины,Фрукты,80,164.87,будни,10
Лук репчатый,Овощи,93,148.55,выходной,36
Пиво светлое,Алкоголь,8,1465.12,выходной,10
Апельсины,Фрукты,25,135.99,выходной,24
Перец черный молотый,Специи,17,475.97,будни,19
Конфеты шоколадные,Кондитерские изделия,15,294.23,будни,11
Свинина отбивная,Мясо,10,376.5,будни,1
Яблоки Гренни,Фрукты,65,169.89,будни,8
Гречка ядрица,Крупы,29,219.05,выходной,12
Мука пшеничная,Бакалея,21,307.81,праздник,36
Масло сливочное,Молочные продукты,32,179.79,будни,16
Чай черный,Напитки,13,27.55,будни,18
Говядина вырезка,Мясо,46,582.18,выходной,24
Чай черный,Напитки,3,53.65,выходной,4
Помидоры черри,Овощи,44,113.23,будни,11
"Молоко 2,5%",Молочные продукты,22,30.72,выходной,18
Гречка ядрица,Крупы,49,257.78,выходной,36
Бананы,Фрукты,75,182.67,выходной,18
Вино красное,Алкоголь,24,1272.0,праздник,27
Свинина отбивная,Мясо,36,359.21,выходной,16
Вода минеральная,Напитки,29,76.02,будни,1
Пиво светлое,Алкоголь,38,301.56,будни,5
Бананы,Фрукты,50,192.98,праздник,48
Рис Басмати,Крупы,4,311.18,будни,14
Лавровый лист,Специи,14,53.92,будни,13
Лавровый лист,Специи,18,43.93,выходной,22
Говядина вырезка,Мясо,32,752.73,будни,13
Творог 5%,Молочные продукты,78,391.66,будни,15
Яйца куриные (10 шт),Яйца,16,427.86,выходной,32
Пиво светлое,Алкоголь,13,981.47,выходной,16
Огурцы грунтовые,Овощи,42,183.93,выходной,44
Картофель молодой,Овощи,17,108.02,праздник,69
Свинина отбивная,Мясо,43,395.12,будни,15
Апельсины,Фрукты,91,156.9,выходной,20
Шоколад молочный,Кондитерские изделия,29,155.23,выходной,8
Чипсы картофельные,Снеки,32,272.26,будни,6
Лосось стейк,Рыба и морепродукты,1,531.95,будни,8
Говядина вырезка,Мясо,22,679.48,будни,7
Сок апельсиновый,Напитки,13,47.47,будни,12
Хлеб бородинский,Хлебобулочные изделия,2,37.42,будни,18
Яйца куриные (10 шт),Яйца,42,281.37,будни,18
Сметана 15%,Молочные продукты,16,446.32,будни,19
Лимонад,Напитки,25,168.41,будни,4
Лосось стейк,Рыба и морепродукты,20,320.22,будни,1
Лук репчатый,Овощи,56,149.79,будни,9
Чай черный,Напитки,49,136.14,праздник,21
Помидоры черри,Овощи,68,129.3,будни,15
Колбаса докторская,Мясные изделия,2,325.35,будни,11
Мука пшеничная,Бакалея,48,132.85,выходной,20
Яблоки Гренни,Фрукты,32,140.52,будни,7
Чай черный,Напитки,38,224.83,будни,16
Соль йодированная,Бакалея,49,230.93,выходной,2
Соль йодированная,Бакалея,7,433.92,выходной,2
"Кефир 3,2%",Молочные продукты,45,223.5,будни,12
Рис Басмати,Крупы,18,106.49,будни,16
Сок апельсиновый,Напитки,16,417.06,выходной,10
Яблоки Гренни,Фрукты,35,52.15,будни,14
Чипсы картофельные,Снеки,3,161.7,будни,18
Говядина вырезка,Мясо,21,634.92,будни,9
Апельсины,Фрукты,70,93.83,будни,2
Шоколад молочный,Кондитерские изделия,20,205.74,выходной,24
Перец черный молотый,Специи,30,355.27,выходной,20
Зефир ванильный,Кондитерские изделия,36,53.74,выходной,4
Энергетик,Напитки,36,263.75,выходной,30
Сахар песок,Бакалея,5,270.68,выходной,8
Сухарики ржаные,Снеки,1,301.74,будни,19
Мармелад фруктовый,Кондитерские изделия,4,177.48,будни,4
Лосось стейк,Рыба и морепродукты,41,519.01,будни,9
Огурцы грунтовые,Овощи,62,66.38,выходной,34
Пиво светлое,Алкоголь,14,814.61,будни,9
Майонез оливковый,Соусы,17,128.89,будни,3
Соль йодированная,Бакалея,24,142.94,будни,3
Бананы,Фрукты,94,172.09,будни,16
Бананы,Фрукты,33,98.89,будни,9
Макароны спагетти,Макаронные изделия,14,430.2,будни,14
Сок апельсиновый,Напитки,29,334.33,будни,16
Вода минеральная,Напитки,34,364.29,будни,9
Перец черный молотый,Специи,38,460.08,выходной,10
Морковь столовая,Овощи,69,70.43,будни,17
Рис Басмати,Крупы,48,355.65,будни,15
Свинина отбивная,Мясо,5,604.03,будни,4
Шоколад молочный,Кондитерские изделия,43,137.1,будни,14
Лимонад,Напитки,35,384.38,будни,7
Энергетик,Напитки,30,124.87,выходной,8
Сыр Российский,Молочные продукты,54,246.2,будни,17
Апельсины,Фрукты,70,171.98,будни,9
Кофе молотый,Напитки,8,118.28,выходной,8
Бананы,Фрукты,40,181.0,будни,3
Мука пшеничная,Бакалея,46,74.13,выходной,38
Мармелад фруктовый,Кондитерские изделия,5,307.7,будни,9
Мармелад фруктовый,Кондитерские изделия,8,240.98,выходной,16
"Кефир 3,2%",Молочные продукты,79,141.11,праздник,21
Соль йодированная,Бакалея,36,175.39,праздник,21
Мёд цветочный,Сладости,38,469.97,будни,4
Вода минеральная,Напитки,35,80.63,будни,19
Йогурт греческий,Молочные продукты,74,150.63,будни,12
Морковь столовая,Овощи,32,133.52,будни,24
Вино красное,Алкоголь,5,600.86,выходной,12
Чай черный,Напитки,43,164.25,будни,12
Мармелад фруктовый,Кондитерские изделия,24,147.39,будни,4
Печенье овсяное,Кондитерские изделия,11,426.54,будни,2
Йогурт греческий,Молочные продукты,31,211.27,будни,15
Макароны спагетти,Макаронные изделия,13,443.87,выходной,12
Хлеб бородинский,Хлебобулочные изделия,11,127.5,выходной,36
Колбаса докторская,Мясные изделия,28,384.78,будни,5
Хлеб бородинский,Хлебобулочные изделия,7,396.13,будни,4
Бананы,Фрукты,25,104.22,выходной,22
Гречка ядрица,Крупы,21,335.24,будни,11
Вино красное,Алкоголь,3,667.47,выходной,18
Конфеты шоколадные,Кондитерские изделия,45,193.75,будни,3
Печенье овсяное,Кондитерские изделия,17,214.88,выходной,22
Джем клубничный,Сладости,41,388.96,будни,2
Макароны спагетти,Макаронные изделия,32,40.17,будни,9
Колбаса докторская,Мясные изделия,30,458.36,будни,10
Яйца куриные (10 шт),Яйца,37,205.62,будни,11
Бананы,Фрукты,67,107.27,будни,3
Вино красное,Алкоголь,22,449.08,будни,1
Картофель молодой,Овощи,67,150.58,будни,15
"Молоко 2,5%",Молочные продукты,10,63.74,будни,17
Свинина отбивная,Мясо,17,760.95,выходной,38
Творог 5%,Молочные продукты,88,141.54,выходной,8
Курица охлажденная,Мясо,9,690.72,будни,2
Сметана 15%,Молочные продукты,23,443.14,выходной,28
Конфеты шоколадные,Кондитерские изделия,1,242.33,выходной,30
Бананы,Фрукты,73,67.78,будни,3
Кетчуп томатный,Соусы,25,251.7,будни,13
